id,name,height,weight,types,abilities,base_stats,front_pic_link,back_pic_link
12,butterfree,11,320,"['bug', 'flying']","['compound-eyes', 'tinted-lens']","{'hp': 60, 'attack': 45, 'defense': 50, 'special-attack': 90, 'special-defense': 80, 'speed': 70}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/12.png
13,weedle,3,32,"['bug', 'poison']","['shield-dust', 'run-away']","{'hp': 40, 'attack': 35, 'defense': 30, 'special-attack': 20, 'special-defense': 20, 'speed': 50}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/13.png
14,kakuna,6,100,"['bug', 'poison']",['shed-skin'],"{'hp': 45, 'attack': 25, 'defense': 50, 'special-attack': 25, 'special-defense': 25, 'speed': 35}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/14.png
15,beedrill,10,295,"['bug', 'poison']","['swarm', 'sniper']","{'hp': 65, 'attack': 90, 'defense': 40, 'special-attack': 45, 'special-defense': 80, 'speed': 75}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/15.png
16,pidgey,3,18,"['normal', 'flying']","['keen-eye', 'tangled-feet', 'big-pecks']","{'hp': 40, 'attack': 45, 'defense': 40, 'special-attack': 35, 'special-defense': 35, 'speed': 56}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/16.png
17,pidgeotto,11,300,"['normal', 'flying']","['keen-eye', 'tangled-feet', 'big-pecks']","{'hp': 63, 'attack': 60, 'defense': 55, 'special-attack': 50, 'special-defense': 50, 'speed': 71}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/17.png
18,pidgeot,15,395,"['normal', 'flying']","['keen-eye', 'tangled-feet', 'big-pecks']","{'hp': 83, 'attack': 80, 'defense': 75, 'special-attack': 70, 'special-defense': 70, 'speed': 101}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/18.png
19,rattata,3,35,['normal'],"['run-away', 'guts', 'hustle']","{'hp': 30, 'attack': 56, 'defense': 35, 'special-attack': 25, 'special-defense': 35, 'speed': 72}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/19.png
20,raticate,7,185,['normal'],"['run-away', 'guts', 'hustle']","{'hp': 55, 'attack': 81, 'defense': 60, 'special-attack': 50, 'special-defense': 70, 'speed': 97}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/20.png
21,spearow,3,20,"['normal', 'flying']","['keen-eye', 'sniper']","{'hp': 40, 'attack': 60, 'defense': 30, 'special-attack': 31, 'special-defense': 31, 'speed': 70}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/21.png
22,fearow,12,380,"['normal', 'flying']","['keen-eye', 'sniper']","{'hp': 65, 'attack': 90, 'defense': 65, 'special-attack': 61, 'special-defense': 61, 'speed': 100}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/22.png
23,ekans,20,69,['poison'],"['intimidate', 'shed-skin', 'unnerve']","{'hp': 35, 'attack': 60, 'defense': 44, 'special-attack': 40, 'special-defense': 54, 'speed': 55}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/23.png
24,arbok,35,650,['poison'],"['intimidate', 'shed-skin', 'unnerve']","{'hp': 60, 'attack': 95, 'defense': 69, 'special-attack': 65, 'special-defense': 79, 'speed': 80}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/24.png
25,pikachu,4,60,['electric'],"['static', 'lightning-rod']","{'hp': 35, 'attack': 55, 'defense': 40, 'special-attack': 50, 'special-defense': 50, 'speed': 90}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/25.png
26,raichu,8,300,['electric'],"['static', 'lightning-rod']","{'hp': 60, 'attack': 90, 'defense': 55, 'special-attack': 90, 'special-defense': 80, 'speed': 110}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/26.png
27,sandshrew,6,120,['ground'],"['sand-veil', 'sand-rush']","{'hp': 50, 'attack': 75, 'defense': 85, 'special-attack': 20, 'special-defense': 30, 'speed': 40}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/27.png
28,sandslash,10,295,['ground'],"['sand-veil', 'sand-rush']","{'hp': 75, 'attack': 100, 'defense': 110, 'special-attack': 45, 'special-defense': 55, 'speed': 65}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/28.png
29,nidoran-f,4,70,['poison'],"['poison-point', 'rivalry', 'hustle']","{'hp': 55, 'attack': 47, 'defense': 52, 'special-attack': 40, 'special-defense': 40, 'speed': 41}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/29.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/29.png
30,nidorina,8,200,['poison'],"['poison-point', 'rivalry', 'hustle']","{'hp': 70, 'attack': 62, 'defense': 67, 'special-attack': 55, 'special-defense': 55, 'speed': 56}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/30.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/30.png
31,nidoqueen,13,600,"['poison', 'ground']","['poison-point', 'rivalry', 'sheer-force']","{'hp': 90, 'attack': 92, 'defense': 87, 'special-attack': 75, 'special-defense': 85, 'speed': 76}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/31.png
32,nidoran-m,5,90,['poison'],"['poison-point', 'rivalry', 'hustle']","{'hp': 46, 'attack': 57, 'defense': 40, 'special-attack': 40, 'special-defense': 40, 'speed': 50}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/32.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/32.png
33,nidorino,9,195,['poison'],"['poison-point', 'rivalry', 'hustle']","{'hp': 61, 'attack': 72, 'defense': 57, 'special-attack': 55, 'special-defense': 55, 'speed': 65}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/33.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/33.png
34,nidoking,14,620,"['poison', 'ground']","['poison-point', 'rivalry', 'sheer-force']","{'hp': 81, 'attack': 102, 'defense': 77, 'special-attack': 85, 'special-defense': 75, 'speed': 85}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/34.png
35,clefairy,6,75,['fairy'],"['cute-charm', 'magic-guard', 'friend-guard']","{'hp': 70, 'attack': 45, 'defense': 48, 'special-attack': 60, 'special-defense': 65, 'speed': 35}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/35.png
36,clefable,13,400,['fairy'],"['cute-charm', 'magic-guard', 'unaware']","{'hp': 95, 'attack': 70, 'defense': 73, 'special-attack': 95, 'special-defense': 90, 'speed': 60}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/36.png
37,vulpix,6,99,['fire'],"['flash-fire', 'drought']","{'hp': 38, 'attack': 41, 'defense': 40, 'special-attack': 50, 'special-defense': 65, 'speed': 65}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/37.png
38,ninetales,11,199,['fire'],"['flash-fire', 'drought']","{'hp': 73, 'attack': 76, 'defense': 75, 'special-attack': 81, 'special-defense': 100, 'speed': 100}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/38.png
39,jigglypuff,5,55,"['normal', 'fairy']","['cute-charm', 'competitive', 'friend-guard']","{'hp': 115, 'attack': 45, 'defense': 20, 'special-attack': 45, 'special-defense': 25, 'speed': 20}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/39.png
40,wigglytuff,10,120,"['normal', 'fairy']","['cute-charm', 'competitive', 'frisk']","{'hp': 140, 'attack': 70, 'defense': 45, 'special-attack': 85, 'special-defense': 50, 'speed': 45}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/40.png
41,zubat,8,75,"['poison', 'flying']","['inner-focus', 'infiltrator']","{'hp': 40, 'attack': 45, 'defense': 35, 'special-attack': 30, 'special-defense': 40, 'speed': 55}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/41.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/41.png
42,golbat,16,550,"['poison', 'flying']","['inner-focus', 'infiltrator']","{'hp': 75, 'attack': 80, 'defense': 70, 'special-attack': 65, 'special-defense': 75, 'speed': 90}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/42.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/42.png
43,oddish,5,54,"['grass', 'poison']","['chlorophyll', 'run-away']","{'hp': 45, 'attack': 50, 'defense': 55, 'special-attack': 75, 'special-defense': 65, 'speed': 30}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/43.png
44,gloom,8,86,"['grass', 'poison']","['chlorophyll', 'stench']","{'hp': 60, 'attack': 65, 'defense': 70, 'special-attack': 85, 'special-defense': 75, 'speed': 40}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/44.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/44.png
45,vileplume,12,186,"['grass', 'poison']","['chlorophyll', 'effect-spore']","{'hp': 75, 'attack': 80, 'defense': 85, 'special-attack': 110, 'special-defense': 90, 'speed': 50}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/45.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/45.png
46,paras,3,54,"['bug', 'grass']","['effect-spore', 'dry-skin', 'damp']","{'hp': 35, 'attack': 70, 'defense': 55, 'special-attack': 45, 'special-defense': 55, 'speed': 25}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/46.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/46.png
47,parasect,10,295,"['bug', 'grass']","['effect-spore', 'dry-skin', 'damp']","{'hp': 60, 'attack': 95, 'defense': 80, 'special-attack': 60, 'special-defense': 80, 'speed': 30}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/47.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/47.png
48,venonat,10,300,"['bug', 'poison']","['compound-eyes', 'tinted-lens', 'run-away']","{'hp': 60, 'attack': 55, 'defense': 50, 'special-attack': 40, 'special-defense': 55, 'speed': 45}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/48.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/48.png
49,venomoth,15,125,"['bug', 'poison']","['shield-dust', 'tinted-lens', 'wonder-skin']","{'hp': 70, 'attack': 65, 'defense': 60, 'special-attack': 90, 'special-defense': 75, 'speed': 90}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/49.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/49.png
50,diglett,2,8,['ground'],"['sand-veil', 'arena-trap', 'sand-force']","{'hp': 10, 'attack': 55, 'defense': 25, 'special-attack': 35, 'special-defense': 45, 'speed': 95}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/50.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/50.png
51,dugtrio,7,333,['ground'],"['sand-veil', 'arena-trap', 'sand-force']","{'hp': 35, 'attack': 100, 'defense': 50, 'special-attack': 50, 'special-defense': 70, 'speed': 120}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/51.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/51.png
52,meowth,4,42,['normal'],"['pickup', 'technician', 'unnerve']","{'hp': 40, 'attack': 45, 'defense': 35, 'special-attack': 40, 'special-defense': 40, 'speed': 90}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/52.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/52.png
53,persian,10,320,['normal'],"['limber', 'technician', 'unnerve']","{'hp': 65, 'attack': 70, 'defense': 60, 'special-attack': 65, 'special-defense': 65, 'speed': 115}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/53.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/53.png
54,psyduck,8,196,['water'],"['damp', 'cloud-nine', 'swift-swim']","{'hp': 50, 'attack': 52, 'defense': 48, 'special-attack': 65, 'special-defense': 50, 'speed': 55}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/54.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/54.png
55,golduck,17,766,['water'],"['damp', 'cloud-nine', 'swift-swim']","{'hp': 80, 'attack': 82, 'defense': 78, 'special-attack': 95, 'special-defense': 80, 'speed': 85}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/55.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/55.png
56,mankey,5,280,['fighting'],"['vital-spirit', 'anger-point', 'defiant']","{'hp': 40, 'attack': 80, 'defense': 35, 'special-attack': 35, 'special-defense': 45, 'speed': 70}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/56.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/56.png
57,primeape,10,320,['fighting'],"['vital-spirit', 'anger-point', 'defiant']","{'hp': 65, 'attack': 105, 'defense': 60, 'special-attack': 60, 'special-defense': 70, 'speed': 95}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/57.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/57.png
58,growlithe,7,190,['fire'],"['intimidate', 'flash-fire', 'justified']","{'hp': 55, 'attack': 70, 'defense': 45, 'special-attack': 70, 'special-defense': 50, 'speed': 60}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/58.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/58.png
59,arcanine,19,1550,['fire'],"['intimidate', 'flash-fire', 'justified']","{'hp': 90, 'attack': 110, 'defense': 80, 'special-attack': 100, 'special-defense': 80, 'speed': 95}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/59.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/59.png
60,poliwag,6,124,['water'],"['water-absorb', 'damp', 'swift-swim']","{'hp': 40, 'attack': 50, 'defense': 40, 'special-attack': 40, 'special-defense': 40, 'speed': 90}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/60.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/60.png
61,poliwhirl,10,200,['water'],"['water-absorb', 'damp', 'swift-swim']","{'hp': 65, 'attack': 65, 'defense': 65, 'special-attack': 50, 'special-defense': 50, 'speed': 90}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/61.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/61.png
62,poliwrath,13,540,"['water', 'fighting']","['water-absorb', 'damp', 'swift-swim']","{'hp': 90, 'attack': 95, 'defense': 95, 'special-attack': 70, 'special-defense': 90, 'speed': 70}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/62.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/62.png
63,abra,9,195,['psychic'],"['synchronize', 'inner-focus', 'magic-guard']","{'hp': 25, 'attack': 20, 'defense': 15, 'special-attack': 105, 'special-defense': 55, 'speed': 90}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/63.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/63.png
64,kadabra,13,565,['psychic'],"['synchronize', 'inner-focus', 'magic-guard']","{'hp': 40, 'attack': 35, 'defense': 30, 'special-attack': 120, 'special-defense': 70, 'speed': 105}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/64.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/64.png
65,alakazam,15,480,['psychic'],"['synchronize', 'inner-focus', 'magic-guard']","{'hp': 55, 'attack': 50, 'defense': 45, 'special-attack': 135, 'special-defense': 95, 'speed': 120}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/65.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/65.png
66,machop,8,195,['fighting'],"['guts', 'no-guard', 'steadfast']","{'hp': 70, 'attack': 80, 'defense': 50, 'special-attack': 35, 'special-defense': 35, 'speed': 35}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/66.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/66.png
67,machoke,15,705,['fighting'],"['guts', 'no-guard', 'steadfast']","{'hp': 80, 'attack': 100, 'defense': 70, 'special-attack': 50, 'special-defense': 60, 'speed': 45}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/67.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/67.png
68,machamp,16,1300,['fighting'],"['guts', 'no-guard', 'steadfast']","{'hp': 90, 'attack': 130, 'defense': 80, 'special-attack': 65, 'special-defense': 85, 'speed': 55}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/68.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/68.png
69,bellsprout,7,40,"['grass', 'poison']","['chlorophyll', 'gluttony']","{'hp': 50, 'attack': 75, 'defense': 35, 'special-attack': 70, 'special-defense': 30, 'speed': 40}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/69.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/69.png
70,weepinbell,10,64,"['grass', 'poison']","['chlorophyll', 'gluttony']","{'hp': 65, 'attack': 90, 'defense': 50, 'special-attack': 85, 'special-defense': 45, 'speed': 55}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/70.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/70.png
71,victreebel,17,155,"['grass', 'poison']","['chlorophyll', 'gluttony']","{'hp': 80, 'attack': 105, 'defense': 65, 'special-attack': 100, 'special-defense': 70, 'speed': 70}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/71.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/71.png
72,tentacool,9,455,"['water', 'poison']","['clear-body', 'liquid-ooze', 'rain-dish']","{'hp': 40, 'attack': 40, 'defense': 35, 'special-attack': 50, 'special-defense': 100, 'speed': 70}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/72.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/72.png
73,tentacruel,16,550,"['water', 'poison']","['clear-body', 'liquid-ooze', 'rain-dish']","{'hp': 80, 'attack': 70, 'defense': 65, 'special-attack': 80, 'special-defense': 120, 'speed': 100}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/73.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/73.png
74,geodude,4,200,"['rock', 'ground']","['rock-head', 'sturdy', 'sand-veil']","{'hp': 40, 'attack': 80, 'defense': 100, 'special-attack': 30, 'special-defense': 30, 'speed': 20}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/74.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/74.png
75,graveler,10,1050,"['rock', 'ground']","['rock-head', 'sturdy', 'sand-veil']","{'hp': 55, 'attack': 95, 'defense': 115, 'special-attack': 45, 'special-defense': 45, 'speed': 35}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/75.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/75.png
76,golem,14,3000,"['rock', 'ground']","['rock-head', 'sturdy', 'sand-veil']","{'hp': 80, 'attack': 120, 'defense': 130, 'special-attack': 55, 'special-defense': 65, 'speed': 45}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/76.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/76.png
77,ponyta,10,300,['fire'],"['run-away', 'flash-fire', 'flame-body']","{'hp': 50, 'attack': 85, 'defense': 55, 'special-attack': 65, 'special-defense': 65, 'speed': 90}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/77.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/77.png
78,rapidash,17,950,['fire'],"['run-away', 'flash-fire', 'flame-body']","{'hp': 65, 'attack': 100, 'defense': 70, 'special-attack': 80, 'special-defense': 80, 'speed': 105}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/78.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/78.png
79,slowpoke,12,360,"['water', 'psychic']","['oblivious', 'own-tempo', 'regenerator']","{'hp': 90, 'attack': 65, 'defense': 65, 'special-attack': 40, 'special-defense': 40, 'speed': 15}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/79.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/79.png
80,slowbro,16,785,"['water', 'psychic']","['oblivious', 'own-tempo', 'regenerator']","{'hp': 95, 'attack': 75, 'defense': 110, 'special-attack': 100, 'special-defense': 80, 'speed': 30}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/80.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/80.png
